Well_ext,Well_id,Stage_id,date,start_time,end_time,start_date,end_date,hours,total_time,current_stage,activity_code,activity_sub_code,activity_sub_sub_code,stage_complete,avg_rate_bpm,avg_pressure_psi,description
,3106-,,7/30/2022,17:59:00,18:12:00,7/30/2022 17:59,7/30/2022 18:12,0.216666667,00:13,,8. NPT - UPP,8.C. NPT - Equipment,8.C.4.13. - NPT - HP Pumping Unit - Other,,,,Swap out sanded off hose discovered during prime up.
,3106-,,7/30/2022,22:05:00,22:39:00,7/30/2022 22:05,7/30/2022 22:39,0.566666667,00:34,,8. NPT - UPP,8.C. NPT - Equipment,8.C.11. NPT - Iron,,,,swap out swivel and check valve on the back of a frac pump.
,3106-,,7/31/2022,00:38:00,02:19:00,7/31/2022 00:38,7/31/2022 02:19,1.683333333,01:41,,8. NPT - UPP,8.A. NPT - Logistics,8.A.3. NPT - Waiting On Iron,,,,Weld mono-line.
Tortuga 111H,3106-Tortuga 111H,,7/31/2022,04:58:00,05:30:00,7/31/2022 04:58,7/31/2022 05:30,0.533333333,00:32,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Night Blender inspection/data van reset
Tortuga 111H,3106-Tortuga 111H,,7/31/2022,08:12:00,08:42:00,7/31/2022 08:12,7/31/2022 08:42,0.5,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/Blender Inspection/Data van reset
,3106-,,7/31/2022,08:42:00,08:57:00,7/31/2022 08:42,7/31/2022 08:57,0.25,00:15,,8. NPT - UPP,8.B. NPT - Prime Up/Pressure Test,8.B.2. NPT - Iron Leak,,,,High pressure leak
,3106-,,7/31/2022,11:36:00,11:47:00,7/31/2022 11:36,7/31/2022 11:47,0.183333333,00:11,,8. NPT - UPP,8.B. NPT - Prime Up/Pressure Test,8.B.7. NPT - Pump Packing / Valves / Seats,,,,Packing station 6
Tortuga 111H,3106-Tortuga 111H,,7/31/2022,19:26:00,08:10:00,7/31/2022 19:26,8/1/2022 08:10,12.73333333,12:43,,8. NPT - UPP,8.A. NPT - Logistics,8.A.3. NPT - Waiting On Iron,,,,PREVENTATIVE Scout Hose/Iron Swap. Expired Iron Swap
,3106-,,8/1/2022,10:52:00,11:03:00,8/1/2022 10:52,8/1/2022 11:03,0.183333333,00:11,,8. NPT - UPP,8.C. NPT - Equipment,8.C.1. NPT - Pump Swap,,,,swapped station 4
Tortuga 111H,3106-Tortuga 111H,,8/1/2022,16:12:00,16:34:00,8/1/2022 16:12,8/1/2022 16:34,0.366666667,00:22,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/Blender Inspection/Data van reset
Tortuga 111H,3106-Tortuga 111H,,8/1/2022,19:26:00,19:49:00,8/1/2022 19:26,8/1/2022 19:49,0.383333333,00:23,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Night Blender inspection/data van reset
Tortuga 111H,3106-Tortuga 111H,,8/2/2022,08:50:00,09:20:00,8/2/2022 08:50,8/2/2022 09:20,0.5,00:30,,8. NPT - UPP,8.C. NPT - Equipment,8.C.2.15. - NPT - Blender - Other,,,,Day/Blender Inspection/Data van reset
